Season,Episode,Month,Year,Description,Rating
3,The One with All the Jealousy,Jan 16,1997,"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.",8.1
3,The One Where Monica and Richard Are Just Friends,Jan 30,1997,"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction"".",8.1
3,The One with Phoebe's Ex-Partner,Feb 6,1997,Phoebe is reunited with her former singing partner. Chandler dates a woman with a prosthetic leg. Ross goes to a fashion lecture with Rachel when he hears she is going with Mark.,7.7
3,The One Where Ross and Rachel Take a Break,Dec 5,1997,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.,8.4
3,The One with the Morning After,Dec 8,1997,"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.",9.0
3,The One Without the Ski Trip,Dec 9,1997,"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.",8.2
3,The One with the Hypnosis Tape,Dec 10,1997,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Phoebe's brother Frank makes a surprise announcement that he is getting married - to a woman twice his age.,8.2
3,The One with the Tiny T-Shirt,Dec 11,1997,"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him.",8.0
3,The One with the Dollhouse,Dec 12,1997,"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna.",7.9
3,The One with the Chick and the Duck,Apr 17,1997,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.",8.6
